DC_NOME,PRE_INS,TEM_SEN,VL_LATITUDE,PRE_MAX,UF,RAD_GLO,PTO_INS,TEM_MIN,VL_LONGITUDE,UMD_MIN,PTO_MAX,VEN_DIR,DT_MEDICAO,CHUVA,PRE_MIN,UMD_MAX,VEN_VEL,PTO_MIN,TEM_MAX,TEN_BAT,VEN_RAJ,TEM_CPU,TEM_INS,UMD_INS,CD_ESTACAO,HR_MEDICAO
IRECÊ,928,22.3,-11.328998,928.3,BA,-3.5,16.2,24.3,-41.864504,57,16.3,144,2019-01-01,0,927.9,61,2.8,16.1,25.2,12.5,7,26,24.3,60,A424,0000
IRECÊ,928,21.7,-11.328998,928.1,BA,-3.5,16.2,22.9,-41.864504,60,16.2,132,2019-01-01,0,928,66,2.3,16.1,24.3,12.5,6.3,25,22.9,66,A424,0100
IRECÊ,927.7,21.5,-11.328998,928,BA,-3.5,16.5,22.3,-41.864504,66,16.5,140,2019-01-01,0,927.6,70,2.1,16.1,22.9,12.5,4.3,24,22.3,70,A424,0200
IRECÊ,927.2,20,-11.328998,927.7,BA,-3.5,16.7,21.5,-41.864504,70,16.7,134,2019-01-01,0,927.2,73,3,16.4,22.3,12.4,5.9,23,22.1,72,A424,0300
IRECÊ,927.2,20.6,-11.328998,927.3,BA,-3.5,17.2,21.6,-41.864504,71,17.2,125,2019-01-01,0,926.9,75,2.5,16.5,22.2,12.4,7.2,23,21.8,75,A424,0400
IRECÊ,927.2,20.3,-11.328998,927.4,BA,-3.5,17.6,21,-41.864504,75,17.6,150,2019-01-01,0,927.2,81,2.3,16.9,21.8,12.4,5.5,22,21,81,A424,0500
IRECÊ,927.6,19.5,-11.328998,927.6,BA,-3.5,17.6,20,-41.864504,80,17.7,170,2019-01-01,0,927.2,85,2.3,16.9,21.1,12.4,4,22,20.2,85,A424,0600
IRECÊ,927.9,19.4,-11.328998,928,BA,-3.5,18.5,20.1,-41.864504,85,18.5,146,2019-01-01,0,927.6,89,2.6,17.7,20.4,12.4,5,21,20.4,89,A424,0700
IRECÊ,928.8,20,-11.328998,928.8,BA,-3.5,18.4,20.2,-41.864504,88,18.5,154,2019-01-01,0,927.9,89,2.1,18.3,20.5,12.4,5,21,20.2,89,A424,0800
IRECÊ,929.5,20.9,-11.328998,929.5,BA,136.2,18.6,20.1,-41.864504,85,18.6,124,2019-01-01,0,928.8,90,2.2,18.3,21.2,12.3,4.3,21,21.2,85,A424,0900
IRECÊ,930,21.1,-11.328998,930,BA,892.4,18.6,21.2,-41.864504,73,18.8,123,2019-01-01,0,929.5,85,3.6,18.2,23.6,12.4,7,22,23.6,73,A424,1000
IRECÊ,930.9,21.7,-11.328998,930.9,BA,1054.1,18.4,23.5,-41.864504,70,18.8,93,2019-01-01,0,930,74,3.5,18,24.4,13,7.2,24,24,71,A424,1100
IRECÊ,931.3,22,-11.328998,931.4,BA,991.5,19.1,24,-41.864504,70,19.2,89,2019-01-01,0,930.9,72,4.1,18.3,24.8,13.2,7,25,24.8,71,A424,1200
